xYear,State,Schedule_Group,Age_Group,rundatetime,PillCount,RxCount,MeanPill_byRx
2015,CA,2,15-24 yrs,06MAY2016:01:14:10,54005353,1368435,39.5
2015,CA,2,25-44 yrs,06MAY2016:01:14:10,290537662.4,4883160,59.5
2015,CA,2,45-64 yrs,06MAY2016:01:14:10,678612684.3,8564922,79.2
2015,CA,2,=< 14 yrs,06MAY2016:01:14:10,35958297.49,890529,40.4
2015,CA,2,>= 65 yrs,06MAY2016:01:14:10,376518252.9,4924901,76.5
2015,CA,3,15-24 yrs,06MAY2016:01:14:10,4355942.36,182383,23.9
2015,CA,3,25-44 yrs,06MAY2016:01:14:10,20186525.09,627877,32.2
2015,CA,3,45-64 yrs,06MAY2016:01:14:10,41090041.66,874000,47
2015,CA,3,=< 14 yrs,06MAY2016:01:14:10,699141.9676,30282,23.1
2015,CA,3,>= 65 yrs,06MAY2016:01:14:10,31372108.19,564238,55.6
2015,CA,4,15-24 yrs,06MAY2016:01:14:10,26930901.8,607543,44.3
2015,CA,4,25-44 yrs,06MAY2016:01:14:10,215226981.6,4632592,46.5
2015,CA,4,45-64 yrs,06MAY2016:01:14:10,501242766,9647012,52
2015,CA,4,=< 14 yrs,06MAY2016:01:14:10,15776425.1,204150,77.3
2015,CA,4,>= 65 yrs,06MAY2016:01:14:10,328558290.3,6327825,51.9
2016,CA,2,15-24 yrs,10SEP2017:11:05:55,31367448.35,817743,38.4
2016,CA,2,25-44 yrs,10SEP2017:11:05:55,169072688.1,2960620,57.1
2016,CA,2,45-64 yrs,10SEP2017:11:05:55,404744366,5273204,76.8
2016,CA,2,=< 14 yrs,10SEP2017:11:05:55,21833864.73,546320,40
2016,CA,2,>= 65 yrs,10SEP2017:11:05:55,247261604,3299667,74.9
2016,CA,3,15-24 yrs,10SEP2017:11:05:55,2495425.391,108993,22.9
2016,CA,3,25-44 yrs,10SEP2017:11:05:55,12609321.8,394618,32
2016,CA,3,45-64 yrs,10SEP2017:11:05:55,24770749.53,537798,46.1
2016,CA,3,=< 14 yrs,10SEP2017:11:05:55,353698.46,15753,22.5
2016,CA,3,>= 65 yrs,10SEP2017:11:05:55,19813517.69,360730,54.9
2016,CA,4,15-24 yrs,10SEP2017:11:05:55,15321270.72,369556,41.5
2016,CA,4,25-44 yrs,10SEP2017:11:05:55,123439713.8,2836102,43.5
2016,CA,4,45-64 yrs,10SEP2017:11:05:55,299883613.6,5910148,50.7
2016,CA,4,=< 14 yrs,10SEP2017:11:05:55,10407417.48,139634,74.5
2016,CA,4,>= 65 yrs,10SEP2017:11:05:55,215278684.4,4157589,51.8
2017,CA,2,15-24 yrs,23JUL2017:23:32:44,3800757,100706,37.7
2017,CA,2,25-44 yrs,23JUL2017:23:32:44,20321772.5,367723,55.3
2017,CA,2,45-64 yrs,23JUL2017:23:32:44,48050790.15,642055,74.8
2017,CA,2,=< 14 yrs,23JUL2017:23:32:44,2993194.703,76191,39.3
2017,CA,2,>= 65 yrs,23JUL2017:23:32:44,30556580.19,419003,72.9
2017,CA,3,15-24 yrs,23JUL2017:23:32:44,286951.0045,12822,22.4
2017,CA,3,25-44 yrs,23JUL2017:23:32:44,1552056,49542,31.3
